sentiment,text,cleaned_text
positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",finnish talentum reports operating profit increased eur mn eur mn net sales totaled eur mn eur mn
positive,"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",clothing retail chain sepp l sales increased eur mn operating profit rose eur mn eur mn
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",consolidated net sales increased reach eur operating profit amounted eur compared loss eur prior year period
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",foundries division reports sales increased eur mn eur mn corresponding period sales machine shop division increased eur mn eur mn corresponding period
positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",helsinki afx shares closed higher led nokia announced plans team sanyo manufacture g handsets nokian tyres fourth quarter earnings report beat analysts expectations dealers said
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",incap contract manufacturing services pvt ltd subsidiary incap corporation finland plans double revenues
positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",board directors propose dividend eur per share eur per share paid
positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",lifetree founded revenues risen average margins late
positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",filippova trilateral agreement investment construction technology park st petersburg signed course forum days russian economy opened helsinki today
positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",megafon subscriber base increased million users december market share number customers amounted late late according teliasonera estimates
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",net income life insurance doubled eur mn eur mn net income non life insurance rose eur mn eur mn corresponding period
positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),net sales increased eur eur pretax profit rose eur eur usd
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",net sales surged eur teleste said eur sales came acquisitions made
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,nordea group operating profit increased percent year year billion euros total revenue percent billion euros
positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",operating profit nine month period increased eur net sales increased eur compared corresponding period
positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",operating profit nine month period increased eur net sales increased eur compared corresponding period
positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",operating profit three month period increased eur revenue increased eur compared corresponding period
positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .",brazilian unit finnish security solutions provider f secure signed new clients last year online news source reseller web quoted division commercial director vladimir brand saying
positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",company net profit rose year million euros sales million euros year company said earlier
positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",lithuanian beer market made million liters january rise percent year earlier figure lithuanian brewers association reporting citing results members
positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",viking line cargo revenue increased eur mn cargo volume increased cargo units
positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",fair value property portfolio doubled result kapiteeli acquisition totalled eur million
positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,february finnish media company sanoma oyj hel saa v said yesterday net profit almost tripled eur eur announced proposal raised payout
positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",helsinki eliiv today reported eps eur increase eps eur
positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",aspo plc stock exchange release february esl shipping ltd part aspo group signed new long term contract rautaruukki corporation marine transport raw materials baltic sea
positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",commission income increased eur mn lending volume rose
positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",january traffic measured revenue passenger kilometres rpk went capacity measured available seat kilometres ask rose
positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",january september fiskars net profit went year year eur million net sales eur million eur million
positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",net income life insurance rose eur mn eur mn net income non life insurance eur mn eur mn
positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",nyrstar also agreed supply talvivaara tonnes sulphuric acid per annum use talvivaara leaching process period supply zinc concentrate
positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",sales department store division hobby hall increased sales clothing store subsidiary seppala decreased
positive,Sales have risen in other export markets .,sales risen export markets
positive,Sales increased due to growing market rates and increased operations .,sales increased due growing market rates increased operations
positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,agreement strengthens long term partnership nokia siemens networks
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",agreement signed biohit healthcare ltd uk based subsidiary biohit oyj finnish public company develops manufactures markets liquid handling products diagnostic test systems
positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,company also estimates already carried investments lead increase net sales reached eur million
positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",company order book stood bln euro bln september pct year international orders amounting mln euro mln
positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",company said paper demand increased main markets including publication papers increased average paper prices percent compared last year
positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",world second largest stainless steel maker said net profit three month period dec surged euro million us million euro us per share euro million euro per share previous year
positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",within framework partnership nokia siemens networks signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic components russia
positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",seppala revenue increased eur finland revenue went eur sales abroad rose eur sales increased baltic countries well russia ukraine
positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",shares standard chartered stan rose ftse royal bank scotland rbs shares rose barclays shares barc bcs
positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,shares nokia corp rose thursday cell phone maker said third quarter earnings almost doubled share global handset market increased
positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",financial report published friday seb said net profit soared sek bn year earlier sek bn proposed dividend increase sek per share
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,sales department store division increased sales clothing store subsidiary seppala increased meanwhile sales hobby hall decreased
neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",request finnish media company alma media newspapers research manager jari kaivo oja finland futures research centre turku school economics drawn future scenario finland national economy using model developed university denver
neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",sweden gallerix accumulated sek denominated sales eur denominated sales
neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,company supports global customers developing new technologies offers fast route product development applications volume production
neutral,"When this investment is in place , Atria plans to expand into the Moscow market .",investment place atria plans expand moscow market
neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",new agreement continuation theagreement signed earlier year lemminkainen group whereby cramo acquired entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo signed asimilar agreement said tatu hauhio managing director ofcramo finland
positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",first contract envisaged construction three ferryboats option two units confirmed total value mln euro mln
neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",june sold percent stake nordstjernan investment group taken option acquire eqt remaining shares
positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",kesko corporation stock exchange release kesko corporation aspo plc today signed agreement aspo acquires share capital kauko telko ltd subsidiary wholly owned kesko
positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,sponda plc stock exchange release december eur billion syndicated credit facility sponda sponda signed agreement one year syndicated credit facility total eur billion
neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,stock exchange announcement july basware share subscriptions warrants increase share capital total shares subscribed basware warrant program
positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",contract covers hdo platform ac cxe optical fttb nodes designed increase forward return path capacity transmission networks
neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,new plant planned electricity generation capacity megawatts mw heat generation capacity
positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",omx helsinki index pct helsinki cap portfolio index pct higher
neutral,"- So , the sales growth of cars considerably influence on the tires market '' .",sales growth cars considerably influence tires market
neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",maximum new shares subscribed exercising b options stock option plan
neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",result share issue number company shares increases shares share capital total eur
neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",finnish real estate investor sponda plc said wednesday march signed agreements danske bank helsinki branch year eur credit facility ilmarinen mutual pension insurance company year eur credit facility
neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",route helsinki finland tallinn estonia cargo volumes increased cargo volumes finland sweden fell
neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",measures included increasing synergies economies scale within grimaldi group personnel adjustments divestments redelivery excess tonnage
positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",rinkuskiai raised sales percent million liters sales kauno alus grew percent liters
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,telecomworldwire april tj group plc sells stake morning digital design oy finnish company tj group plc said friday april signed agreement selling shares morning digital design oy edita oyj
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,telecomworldwire april tj group plc sells stake morning digital design oy finnish company tj group plc said friday april signed agreement selling shares morning digital design oy edita oyj
neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",new series shares become subject trading helsinki stock exchange main list together old series shares july
neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,fuel purchase contracts signed three months delivery september november
neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,tiimari operates stores six countries including core finnish market generated turnover mln eur
positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,agreement biohit becomes focus supplier pipettors disposable pipettor tips vwr customers throughout europe
positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",combination services enabling us offer complex strengthened service chain limited baltic port connections also getting access world wide grimaldi network mediterranean africa north america says uwe bakosch
neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,blind spots coming vantage point allows investigators see whole story high resolution unbroken video
positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",company still expects turnover slightly increase level adding market predictability still poor trustworthy forecasts market development contract manufacturing business current year
positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,acquisition considerably increase kemira sales market position russian metal industry coatings market
positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",january september finnlines net sales rose eur mn eur mn corresponding period
positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",adjusted changes group structure division net sales increased
positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",change optimize operational efficiencies growing business said julia prohaska director marketing communications fiskars
positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",would invest physical infrastructure would also provide know managing developing science technology parks said sunrise valley director andrius bagdonas
positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",february finnish broadband data communication systems provider teleste oyj hel tlt v saw net profit jump eur last quarter eur period
positive,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,finnish aktia group operating profit rose eur mn first quarter eur mn first quarter
positive,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,finnish bank land consolidated net operating profit increased eur mn first quarter eur mn first quarter
positive,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",finnish financial group aktia reports operating profit eur mn january september eur mn corresponding period
positive,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",finnish high technology provider vaahto group reports net sales eur mn accounting period september february increase year earlier
positive,Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,net sales finnish food industry company l nnen tehtaat continuing operations increased eur mn eur mn
positive,An individual promotion also generated slightly higher-than-expected revenues .,individual promotion also generated slightly higher expected revenues
positive,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,biohit already services many current genesis customers customer base expected expand result agreement
positive,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",operating profit turnover three month period increased respectively eur eur compared corresponding period
positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,circulation revenue increased finland sweden
positive,Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,clothing chain sepp l net sales increased eur mn
positive,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,construction volumes meanwhile grow rate percent annually
positive,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,finnish swedish construction markets still experiencing estimated annual growth
positive,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",however biohit estimates total net sales continue grow favourable trends net sales lead profit
positive,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",fiskars cash flow operating activities amounted eur eur previous year
positive,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",lithuania operating profit rose eur eur corresponding period
positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",fourth quarter net sales increased eur mn eur mn fourth quarter
positive,"International sales rose by 59.8 % to EUR 1,244.4 mn .",international sales rose eur mn
neutral,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,kalmar espana generated net sales mln euro mln
positive,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,net sales grew period x ac million us million x ac million
positive,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,net sales increased eur april june eur year earlier
positive,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",net sales rose year year eur number chargers delivered went million pieces
positive,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",net sales totaled eur mn eur mn corresponding period
positive,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",nokia also noted average selling price handsets declined period though mobile phone profit margin rose percent percent year ago quarter
positive,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,operating profit increased eur mn eur mn
positive,Operating profit margin increased from 11.2 % to 11.7 % .,operating profit margin increased
positive,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,operating profit rose eur mn eur mn corresponding period
positive,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,operating profit rose eur mn eur mn fourth quarter
positive,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",operating profit eur mn eur mn
positive,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",ramirent net sales second quarterended june euro million u million percent increase compared euro million thesecond quarter last year
positive,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",revenue grew percent x ac million million x ac million
positive,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,ruukki announced signed agreement aker solutions norway supply suction anchors september kalajoki unit finland
positive,"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",ruukki delivery volumes selling prices showed favourable development company comparable net sales grew year year eur ceo sakari tamminen said
positive,Sanoma Magazines ' net sales are estimated to grow in 2006 .,sanoma magazines net sales estimated grow
positive,The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,bank forecasts finland gdp grow
positive,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",circuit overall production rate weekly basis excess average tonnes per day volumes excess tonnes per day reached individual days
positive,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",company consolidated operating profit amounted eur mn eur mn year year
positive,The Department Store Division reported an increase in sales of 4 per cent .,department store division reported increase sales per cent
positive,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,fair value company investment properties grew eur billion end march eur million year ago
positive,"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",last quarter best quarter net sales operating margin rose
positive,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",major breweries increased domestic beer sales per cent last year million litres million litres
positive,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",transaction doubles tecnomens workforse adds fourth net sales
positive,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,operating profit rose eur million
positive,"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",purchase cramo become second largest rental services provider latvian market
positive,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",priority strengthen company balance sheet increase cash flow ceo hannu krook said
positive,`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',purchase operations part yit strategy expand offering building system services geographically
positive,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,october finnish fishing tackle company rapala vmc corp hel rap v said today net profit rose eur first nine months eur period year earlier
neutral,"A structures BIM ( building information modeling ) software from Tekla , a model-based software provider , has been adopted for the construction management and delivery of a university project in Abu Dhabi .",structures bim building information modeling software tekla model based software provider adopted construction management delivery university project abu dhabi
positive,"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",according finnish metso minerals value company orders gone eur bn months
positive,Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,finnish aldata solution signed contract supply g l system two french retail chains
positive,Finnish Bank of +_land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,finnish bank land reports operating profit rose eur mn second quarter eur mn corresponding period
positive,Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,finnish financial group aktia operating profit increased eur mn eur mn
positive,Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,finnish forest machinery manufacturer ponsse net sales grew eur mn first quarter eur mn corresponding period
positive,Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,finnish kci konecranes raised net sales growth estimate
positive,Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,finnish okmetic manufactures processes silicon wafers semiconductor sensor industries norwegian solar wafer company norsun signed contract okmetic supply norsun mono silicon crystals use solar cell manufacturing
